SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.10922438699994927,0.10336764699604828,0.9495999999999999,4.0,0.003590592999898945,0.00012276200141059235,9600,0.1721330319999197,0.012276411200082294,Add,117024,3109632,0.14663410800458224,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.1253816552000444,0.10835906839784001,0.9219999999999999,4.4,0.0043692919998647994,0.0003000209981109947,57600,0.1949042300000201,0.004800667000063185,Conv,55872,55296,0.12548541840269536,0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.14165206100010436,0.10846952559804776,0.9719999999999999,4.0,0.0029533550000451214,0.00031008799851406366,69696,0.2370772010001474,0.003671630999951958,Pad,0,1728,0.1091045554024277,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.11856127599994579,0.13639297140034615,0.8964000000000001,4.0,0.003731332999905135,0.00013759300054516643,14400,0.24723379700003534,0.004271406600082628,Conv,5760,2985984,0.10427189460028785,0
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.135433065999905,0.09119288219953887,0.9507999999999999,3.8,0.003740832999937993,0.00010356400161981583,4000,0.17932510600007845,0.004537791599886987,Conv,92320,93888,0.1326001938011359,0
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.1379796431998784,0.08599438660166925,0.932,3.8,0.004520421000052011,0.00010211999324383214,4000,0.22397182400004567,0.019767396000042937,Add,320800,8614240,0.13525211219903213,0
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.1461540867999247,0.07944724939879962,0.8705999999999999,3.8,0.0019667130000016186,0.00011863600229844451,4000,0.1942118639999535,0.013565896199907002,Add,317920,8611360,0.13362480580185548,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.14980877479993068,0.06721151260426268,0.8930000000000001,4.0,0.004089776000000711,0.00017238699365407228,24000,0.20740988900001867,0.009506211200141479,Conv,154560,153600,0.1422058545963864,0
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.14231462819989246,0.07314752500096802,0.9166000000000001,4.2,0.0017697690000204602,0.00018418800027575344,24000,0.1906898629999887,0.004497614800175143,Conv,9600,8297280,0.1437639887997193,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.15477422739995744,0.07183385440148413,0.8264000000000001,4.0,0.0018733050001173979,0.00011737799650290981,8000,0.18218225800001164,0.01297519999998258,Conv,307520,310080,0.13261806019913822,0
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.18223069900013797,0.0582248712060391,0.8399999999999999,4.0,0.0032003910000639735,0.00020382700313348323,32000,0.21347724699990067,0.0188549150002018,Conv,409600,409600,0.1187705717944027,0
