SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,1.7134845112001131,0.34425458901096134,1.1586,6.4,0.04846519700004137,0.006082205974962562,1843200,0.2583180999999968,0.040178362400274635,Conv,55872,55296,0.9500288117897981,0.01236
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,1.611972092799715,0.27037060259608553,1.1099999999999999,6.6,0.05062799300003462,0.007687364995945245,2230272,0.2761653570000817,0.016979545399863127,Pad,0,1728,1.125425216605072,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,1.6359417077996112,0.3084454309893772,1.0948,5.6,0.013532655000290106,0.0016907009994611144,460800,0.2197136079998927,0.03426922199960245,Conv,5760,2985984,1.063380773211884,0.038124
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,1.6521330179994949,0.2841989752021618,1.0892,5.6,0.005047982000178308,0.00048770004650577903,128000,0.2152222360000451,0.032228218600084804,Conv,92320,93888,1.0714359187992157,0.015966
sequential-mobilenetv2_1.00_160-block_14_add-add_0,1.746838136999577,0.2544996169861406,1.1122,6.8,0.0033226310001737147,0.0005027420120313764,128000,0.21167210699968564,0.09836643300013748,Add,320800,8614240,1.0064301580151551,0.000675
sequential-mobilenetv2_1.00_160-block_15_add-add_0,1.819096578599965,0.2140969777945429,1.0070000000000001,6.0,0.00683989399976781,0.0005804590182378888,128000,0.20716115300001547,0.0872309516000314,Add,317920,8611360,0.9745743556063644,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,1.839292327200019,0.15856948697473855,0.9730000000000001,7.2,0.0207607239999561,0.002611903997603804,768000,0.2309422190000987,0.0296537327999431,Conv,154560,153600,1.009906097826115,0.012435
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,1.87772994700008,0.15815325198927893,0.9851999999999999,6.6,0.019110319999981584,0.0023972069611772895,768000,0.26903509999965536,0.04730817560011928,Conv,9600,8297280,0.9718847130115136,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,1.9188820021997344,0.08602279559709132,0.9613999999999999,6.6,0.01147970300007728,0.000846848008222878,256000,0.21338865699999587,0.07946794880017478,Conv,307520,310080,1.0028631142040467,0.037727
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,1.9798668816000826,0.050936325616203246,0.835,6.2,0.02415809399963109,0.0037662709946744144,1024000,0.3063402790003238,0.07801419580018773,Conv,409600,409600,0.9769647047845864,0.01595
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,1.9977716251999482,0.04823329800274223,0.8300000000000001,5.6,0.022490814999855502,0.0033707430120557547,1024000,0.24677261700026065,0.006155140000009851,BatchNormalization,5120,3840,0.9617629887981822,0.000656
sequential-global_average_pooling2d-Mean_0,1.9998163199999908,0.023839617369230837,0.771,7.0,0.008010145999833185,0.00024214800214394927,40960,0.20839369500026805,0.00645967219988961,GlobalAveragePool,0,35840,0.9841119746316509,0
sequential-dense-MatMul_0,2.0230605372001262,0.028031451406423002,0.8022,6.4,0.01755095800035633,7.850094698369503e-05,32,0.19584561600004236,0.0029648185999576527,MatMul,1280,1280,0.9566759233943234,0.012382
SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,1.9643189230005191,0,0,0,0,0,0,0,0,,,,1.321693970999604,
NO_SPLIT,0,1.849455582036171,2.716,8.0,0,0.008136307005770504,2457600,0.35431719899997915,0,,,,1.436557311963952,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.08534077100011928,1.6538022760068998,2.609,9.0,0.11504034799963847,0.02197218599030748,6553600,0.5862911439999152,0.07554530700053874,Conv,896,864,1.5468698469931041,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.17324279799959186,1.249638727051206,2.171,6.0,0.12049382799978048,0.021396655996795744,6553600,0.5435761919998185,0.11650528599966492,Conv,320,9312,1.8631313689493254,0.117834
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.21636251599920797,1.0516760459868237,1.937,9.0,0.06368776299950696,0.010492658999282867,3276800,0.36351326200019685,0.057868913999300275,Conv,528,608,2.0179743320140915,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,1.083748099999866,1.7171322900103405,3.044,7.0,0.6199509309999485,0.06333654496120289,19660800,1.3440152159992067,0.28539649300000747,Conv,1536,1536,0.4851325039899166,0.111132
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.3440446049999082,1.502746018988546,2.665,8.0,0.4788422379997428,0.06367284496081993,19660800,1.313795977999689,0.32591335299912316,BatchNormalization,384,288,1.439222270011669,0.037261
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.6601648649993876,1.0086848190403543,2.364,7.0,0.49210997200043494,0.06363916501868516,20155392,1.3840282109995314,0.34352885500084085,Pad,0,288,1.6171632099603812,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.5120938809996005,1.5527056209975854,2.474,9.0,0.14492129100017337,0.016451067989692092,4915200,0.4618643889998566,0.16928626600019925,Conv,960,82944,1.2212133920029373,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.5177018470003532,0.869708890968468,1.777,9.0,0.03142783399925975,0.0039674940053373575,1228800,0.28564510100022744,0.04063200900054653,Conv,2328,2592,1.898602156031302,0.105572
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.7167524630003754,1.2726550569641404,1.998,8.0,0.023661508000259346,0.004075792036019266,1228800,0.2801984170000651,0.19698566000079154,Add,8952,233232,1.2966053740356074,0.106244
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.7381670269996903,1.150990094000008,2.189,7.0,0.1365483640001912,0.024349329993128777,7372800,0.5897139720000268,0.047572329999638896,Conv,3600,3456,1.396855773000425,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.7670027510012005,1.144761194998864,2.151,10.0,0.1516489219993673,0.02574253303464502,7746048,0.6271494359998542,0.04285682700083271,Pad,0,432,1.3742489480000586,0.142482
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.8107652610005971,1.0768128969939426,1.958,9.0,0.04461051800080895,0.0061393529758788645,1843200,0.4663098020000689,0.071309465000013,Conv,1440,186624,1.3984347360055835,0.028538
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.8158444280006734,0.967029116989579,1.83,7.0,0.01153582799997821,0.001343465002719313,409600,0.2470297070003653,0.018388642999525473,Conv,4640,5040,1.5031393490098708,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.8847522430005483,0.9667802840122022,1.732,6.0,0.007302020000679477,0.0013168409932404757,409600,0.24635020899950177,0.1170158500008256,Add,15008,358592,1.4344803669873727,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.9550983120007004,0.815771922993008,1.721,8.0,0.009201531000144314,0.0013666140148416162,409600,0.24382089099981386,0.07929990599950543,Add,14432,358016,1.5151426590064148,0.033855
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.9764976869992097,0.5278171760146506,1.281,7.0,0.036483967999629385,0.008304265968035907,2457600,0.30566358499982016,0.02681867999945098,Conv,6336,6144,1.781698030986263,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.9896715240001868,0.8672720029717311,1.733,11.0,0.0454032069992536,0.008614966995082796,2709504,0.34484110700032033,0.02477137000005314,Pad,0,576,1.4290693670282053,0.1042
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,1.0081997930001307,0.863184831046965,1.592,9.0,0.01669863900042401,0.0022785739856772125,614400,0.2799609840003541,0.0262122759995691,Conv,1920,331776,1.4146282699530275,0.045531
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,1.0761805359989012,0.9732675009872764,1.825,8.0,0.007002274999649671,0.0007802540203556418,204800,0.25200360200051364,0.022313150000627502,Conv,12352,12864,1.2365648570139456,0.002661
sequential-mobilenetv2_1.00_160-block_7_add-add_0,1.0915929889997642,0.8785955390194431,1.65,9.0,0.006243569000616844,0.0007575770141556859,204800,0.2354884979995404,0.10956904699924053,Add,54592,1386112,1.315824365980916,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,1.1637187190008262,0.4964615180506371,1.344,6.0,0.004049801000292064,0.0007607729639858007,204800,0.22541977600030805,0.07711381999979494,Add,53440,1384960,1.6258326569486599,0.030747
sequential-mobilenetv2_1.00_160-block_9_add-add_0,1.2432520349993865,0.6802037580055185,1.57,8.0,0.004828109999834851,0.0007030930137261748,204800,0.2324705270002596,0.08563029700053448,Add,53440,1384960,1.3625571009952182,0.016787
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,1.2555356530001518,0.5680237080086954,1.386,7.0,0.02090064100048039,0.0038573649944737554,1228800,0.2747471640004733,0.01703023699883488,Conv,24960,24576,1.462453532991276,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,1.291588237000724,0.6804492860101163,1.603,6.0,0.024587820000306237,0.003995075006969273,1228800,0.2749393260000943,0.055396660000042175,Conv,3840,1328256,1.313975370989283,0.060649
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,1.3161822879992542,0.3515695880050771,1.211,9.0,0.009763711000232433,0.0011700280010700226,307200,0.2395993370000724,0.03142146399932244,Conv,36960,38016,1.618261017995792,0.011998
sequential-mobilenetv2_1.00_160-block_11_add-add_0,1.4377373830011493,0.6636164939845912,1.554,6.0,0.006835303000116255,0.0011087210150435567,307200,0.2349523800003226,0.13109100699966802,Add,118752,3111360,1.1846590170143827,0
sequential-mobilenetv2_1.00_160-block_12_add-add_0,1.562724416000492,0.49513845902401954,1.402,8.0,0.005746062000071106,0.001136175007559359,307200,0.23954413600040425,0.12776771999961056,Add,117024,3109632,1.2281500189756116,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,1.5913299179992464,0.47144899098202586,1.274,7.0,0.032095929000206525,0.006368922011461109,1843200,0.37222323100013455,0.04679417300121713,Conv,55872,55296,1.223233985018851,0.01236
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,1.6069806540008358,0.36727807199349627,1.274,8.0,0.03581340300024749,0.008273551007732749,2230272,0.3006730739998602,0.01730168400081311,Pad,0,1728,1.3117541680057911,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,1.630578976999459,0.34931332600535825,1.149,6.0,0.013554838999880303,0.0016767350025475025,460800,0.2910391770001297,0.02448236399959569,Conv,5760,2985984,1.306120590995306,0.038124
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,1.6401669439992475,0.36720109201269224,1.153,5.0,0.0034039129996017436,0.0005447209696285427,128000,0.24450804500065715,0.0448010649997741,Conv,92320,93888,1.2786448579881835,0.015966
sequential-mobilenetv2_1.00_160-block_14_add-add_0,1.7313233290005883,0.2776879820157774,1.194,7.0,0.0034166669993282994,0.0006129080429673195,128000,0.24819969999953173,0.08896457800074131,Add,320800,8614240,1.2770015829837575,0.000675
sequential-mobilenetv2_1.00_160-block_15_add-add_0,1.8194204700002956,0.17322015401441604,0.98,5.0,0.003574696000214317,0.0005005349521525204,128000,0.22606070900019404,0.08688168899880111,Add,317920,8611360,1.2933722699854115,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,1.8341310659998271,0.1810732949525118,1.073,7.0,0.01486937699974078,0.002599029045086354,768000,0.26628751500084036,0.03484755900080927,Conv,154560,153600,1.2708085330477843,0.012435
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,1.8864437130005172,0.09009551501367241,0.919,5.0,0.02205131699975027,0.003043479984626174,768000,0.2683982290000131,0.03953804899992974,Conv,9600,8297280,1.3094736659859336,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,1.914993295999011,0.0882105539785698,0.987,7.0,0.00711096200029715,0.0008860160014592111,256000,0.2722046989993032,0.08578282100006618,Conv,307520,310080,1.2828090440225424,0.037727
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,1.978545149000638,0.07849372201599181,0.837,5.0,0.022111397999651672,0.0033659239998087287,1024000,0.2697128320005504,0.07829893500002072,Conv,409600,409600,1.2289740229834933,0.01595
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,1.9984248199998547,0.029492305009625852,0.806,7.0,0.02227470599973458,0.003359219990670681,1024000,0.3580692440000348,0.00678023500040581,BatchNormalization,5120,3840,1.2580957689906427,0.000656
sequential-global_average_pooling2d-Mean_0,2.004797521999535,0.03089764399919659,0.842,8.0,0.005192647000512807,0.0002658030134625733,40960,0.22853690600004484,0.0052867209997202735,GlobalAveragePool,0,35840,1.2503177280013915,0
sequential-dense-MatMul_0,2.06626730500102,0.027568348043132573,0.828,7.0,0.001725183999951696,7.962400559335947e-05,32,0.22129098100049305,0.0030121290001261514,MatMul,1280,1280,1.1921772409559708,0.012382
SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,1.946757267999601,0,0,0,0,0,0,0,0,,,,1.5772041999971407,
NO_SPLIT,0,1.6609180020168424,2.548,9.0,0,0.008318447973579168,2457600,0.331132622000041,0,,,,1.8630434659798993,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.08734754200031603,1.7693354959483258,2.745,15.0,0.1319594850001522,0.021311085030902177,6553600,0.5766993489996821,0.0704894870004864,Conv,896,864,1.6672784300480998,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.18600683299882803,1.6482218849705532,2.629,7.0,0.12723651200030872,0.02102976298192516,6553600,0.7124680090000766,0.1173260579998896,Conv,320,9312,1.6897327500273605,0.117834
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.22601193900027283,1.0588960470049642,1.964,6.0,0.0671322769994731,0.010808121995069087,3276800,0.3611094710004181,0.06217283600017254,Conv,528,608,2.2390534819915047,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.4625627200002782,0.805482572002802,2.112,7.0,0.42822686700037593,0.06373087398242205,19660800,1.375842874999762,0.6074616050000259,Conv,1536,1536,2.2559161759936615,0.111132
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.44699373500043293,0.9772280870238319,2.132,7.0,0.457137209999928,0.06348214304307476,19660800,1.3237361559995406,0.1382214989998829,BatchNormalization,384,288,2.099739645972477,0.037261
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.9774563260007199,1.5066189249628223,2.805,9.0,0.550821064000047,0.06434381299186498,20155392,1.3781566179995934,0.47853884899996046,Pad,0,288,1.0398862170331995,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.49745742499999324,1.3433187910122797,2.277,7.0,0.11130757999944763,0.015960827993694693,4915200,0.47636621200035734,0.16606472700004815,Conv,960,82944,1.6831852519844688,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.5001073370003724,0.9697929800022393,1.784,6.0,0.03040056800000457,0.0041317829745821655,1228800,0.2668199720001212,0.043740889000218885,Conv,2328,2592,2.05406115099413,0.105572
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.6861999239999932,1.2700302349985577,2.137,8.0,0.02323978200001875,0.00415576301747933,1228800,0.28791775399986363,0.1957546369994816,Add,8952,233232,1.5677313089981908,0.106244
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.7202813809990403,0.7478513160021976,1.698,8.0,0.1311138379996919,0.023942703963257372,7372800,0.6726321440000902,0.06772716499926901,Conv,3600,3456,2.055828770995504,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.7365275559996007,1.1385413180105388,2.125,7.0,0.15062747499996476,0.02525815204717219,7746048,0.5976220630000171,0.04114810299961391,Pad,0,432,1.6488925939866022,0.142482
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.8016909600000872,1.1622245110338554,2.038,6.0,0.0499052479999591,0.0060945089790038764,1843200,0.3209729669997614,0.06704213800003345,Conv,1440,186624,1.560045996962799,0.028538
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.8035909669997636,1.070275813981425,1.886,8.0,0.013918263999585179,0.001302777964156121,409600,0.2549418479993619,0.037980407999384624,Conv,4640,5040,1.650094687015553,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.8729695019992505,0.5757535639568232,1.417,9.0,0.008441425999990315,0.0013292909716255963,409600,0.24893424099991535,0.07775455800037889,Add,15008,358592,2.075238402040668,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.9493039740000313,0.5687520680367015,1.395,7.0,0.008659086000079697,0.001464762957766652,409600,0.31028841999977885,0.08745085999908042,Add,14432,358016,2.005905425960009,0.033855
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.9710893799992846,0.7609843190293759,1.647,6.0,0.04518053699939628,0.008628014998976141,2457600,0.33076810800048406,0.01866513999993913,Conv,6336,6144,1.7918877689680812,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,1.0291854999995849,0.9691285989829339,1.871,7.0,0.05623708099938085,0.008857587003149092,2709504,0.35100522700031433,0.017969808999623638,Pad,0,576,1.525647369014223,0.1042
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,1.0024663130006957,0.8621370369801298,1.667,8.0,0.016968969000117795,0.0020110129844397306,614400,0.2612022789999173,0.02588210399972013,Conv,1920,331776,1.6593581180159163,0.045531
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,1.0142290359990511,0.87550060095964,1.725,6.0,0.004950338999151427,0.0007700269925408065,204800,0.2549114540006485,0.03348798500064731,Conv,12352,12864,1.6342318310380506,0.002661
sequential-mobilenetv2_1.00_160-block_7_add-add_0,1.0777821640003822,0.8166413509752601,1.655,6.0,0.004014522000034049,0.0007687739562243223,204800,0.2734130709995952,0.07942713500051468,Add,54592,1386112,1.6295379530210994,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,1.1628752949991394,0.7755465389927849,1.567,7.0,0.004234581000673643,0.0007162929978221655,204800,0.24434004299928347,0.0779926670002169,Add,53440,1384960,1.5855396340048173,0.030747
sequential-mobilenetv2_1.00_160-block_9_add-add_0,1.2349191039993457,0.7730323030264117,1.542,6.0,0.004069417000209796,0.0007562729879282415,204800,0.2432209509997847,0.07807464500001515,Add,53440,1384960,1.5160100609709843,0.016787
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,1.35712616300043,0.6664221410173923,1.395,5.0,0.01824377100001584,0.004330212948843837,1228800,0.27941349699995044,0.015758755001115787,Conv,24960,24576,1.5004131639789193,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,1.2917277349997676,0.4473727960139513,1.263,10.0,0.021629146000123,0.0043067699880339205,1228800,0.3004432050001924,0.05512444199939637,Conv,3840,1328256,1.7848609369830228,0.060649
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,1.2977291870001864,0.37607239198405296,1.15,6.0,0.007647088000339863,0.001025304023642093,307200,0.24938187100087816,0.03109244399911404,Conv,36960,38016,1.8501598890125024,0.011998
