SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf,ErrorPercentage,AbsErrorPercentage,TotalTime
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.168459278001683,0.510235485799785,1.291,4.2,0.001418070998625,0.001043203003064,307200,0.085157269000774,0.010159927996574,Add,118752,3111360,0.010708,0.106451376326912,0.106451376326912,0.678694763801468
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.17830432439805,0.401697630800481,1.1524,4.2,0.002115475996106,0.001098733999243,307200,0.102395599998999,0.008897332602646,Add,117024,3109632,0.007712,0.088610725821089,0.088610725821089,0.580001955198531
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.183186528197257,0.344931611798529,1.183,4.2,0.01040177300456,0.006300876993919,1843200,0.146219927999482,0.00665481579781,Conv,55872,55296,0,0.059597569265503,0.059597569265503,0.528118139995786
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.179811527402489,0.348715527000604,1.1986,4.4,0.012890022997453,0.007803412001522,2230272,0.157764589996077,0.007719359800103,Pad,0,1728,0.010323,0.136895965198115,0.136895965198115,0.528527054403093
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.180083421799645,0.3725838140017,1.1564,4.2,0.003142556997773,0.001510332003818,460800,0.108624450003845,0.003282190399477,Conv,5760,2985984,0,0.13517945159571,0.13517945159571,0.552667235801345
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.20192658520391,0.265595915199083,1.086,4,0.001124096001149,0.000552243000129,128000,0.077591752000444,0.003555338799197,Conv,92320,93888,0.000433,0.014527135162157,0.014527135162157,0.467522500402993
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.190790328798175,0.258963707397925,1.0366,4,0.000828443000501,0.000525347000803,128000,0.101587862001907,0.008845304399438,Add,320800,8614240,0.007083,0.110868676284955,0.110868676284955,0.4497540361961
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.215561046998482,0.162290610400669,0.9826,3.8,0.000912746996619,0.000540184999409,128000,0.090510595000524,0.006777960399631,Add,317920,8611360,0.005477,0.008623789072295,0.008623789072295,0.377851657399151
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.218490303400904,0.175874187602312,1.0006,4,0.004465673999221,0.00257467499614,768000,0.120770852001442,0.005083226402348,Conv,154560,153600,0,-0.004898631125703,0.004898631125703,0.394364491003216
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.198650642801658,0.107089565598289,0.9558,4,0.004842069996812,0.002534469000238,768000,0.110869490999903,0.003220029600197,Conv,9600,8297280,0.002558,0.107361128549865,0.107361128549865,0.305740208399947
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.240983649800182,0.103986929199891,0.9044,3.8,0.001785017004295,0.000881740998011,256000,0.105163617001381,0.007652002399846,Conv,307520,310080,0.000489,-0.085137102941191,0.085137102941191,0.344970579000073
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.214750089796144,0.050610542598588,0.8672,4,0.005827245004184,0.003519983001752,1024000,0.141670972996508,0.009226821402262,Conv,409600,409600,0.004876,0.049326685795156,0.049326685795156,0.265360632394732
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.215260550999665,0.056450580799719,0.8374,4,0.006749289001164,0.003332685999339,1024000,0.114533644002222,0.002615840602084,BatchNormalization,5120,3840,0,0.04683834986723,0.04683834986723,0.271711131799384
sequential-global_average_pooling2d-Mean_0,0.225190311799815,0.028428690599685,0.8104,3.8,0.000979390999419,0.000227764001465,40960,0.089897039004427,0.002275863403338,GlobalAveragePool,0,35840,0.006412,0.029151734582706,0.029151734582706,0.2536190023995
sequential-dense-MatMul_0,0.235810691997176,0.023461636397406,0.78,3.8,0.000355220006895,9.78770040092059E-05,32,0.070854749996215,0.00132769519696,MatMul,1280,1280,0,-0.017198931748288,0.017198931748288,0.259272328394582
