SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.13274103040021146,0.7861251052003354,1.6136,4.6,0.003534745999786537,0.0015396870003314689,409600,0.09746148900012486,0.004808460600906983,Conv,4640,5040,-0.34536258460721003,0.001784
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.13381022719986504,0.6524904357997002,1.4948000000000001,4.2,0.0021902469961787574,0.0013953810048406012,409600,0.10105303899763385,0.007706651798798703,Add,15008,358592,-0.21279711200622842,0.005581
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.14658495359908558,0.7790671085982467,1.61,4.6,0.002529110002797097,0.0014073920028749853,409600,0.10629456100286916,0.006609005402424373,Add,14432,358016,-0.3521485112039955,0.0043
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.1380045106023317,0.6402096967984108,1.4731999999999998,5.0,0.01318873400305165,0.008456889001536183,2457600,0.15421508599683875,0.007699237401538994,Conv,6336,6144,-0.2047106564074057,0.0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.14575936860201183,0.7233350751994294,1.5904000000000003,5.0,0.01579243000014685,0.009243275999324396,2709504,0.1830934059980791,0.007593289400392678,Pad,0,576,-0.29559089280810436,0.00801
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.14920356279762928,0.5753893694025465,1.3994,4.4,0.0041722829992068,0.002033003001997713,614400,0.11597093599993968,0.004428637197997886,Conv,1920,331776,-0.1510893812068389,0.0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.1271529137971811,0.5751973046018974,1.3796,4.2,0.0015906640037428588,0.0008119560006889515,204800,0.07758034099970246,0.0031741734012030063,Conv,12352,12864,-0.1288466674057417,0.000629
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.15024450000200887,0.5540497521986254,1.3938,4.4,0.0011001509992638603,0.0008231190004153177,204800,0.09433240099315299,0.00625084759958554,Add,54592,1386112,-0.1307907012072974,0.004284
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.14091528099961578,0.533616586199787,1.3644,4.2,0.0014229649968910962,0.0007411550031974912,204800,0.09579598299751524,0.005363197196857072,Add,53440,1384960,-0.101028316206066,0.003562
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.1541774900004384,0.6042749590007588,1.422,4.8,0.0012491919987951405,0.0007569000008516014,204800,0.09080556099797832,0.005538598197745159,Add,53440,1384960,-0.1849488980078604,0.003514
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.16312427520315395,0.5640033072020743,1.3718,4.2,0.005923274999076966,0.004210676997900009,1228800,0.11804302900418406,0.004537627995887306,Conv,24960,24576,-0.1536240314118914,0.0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.16503086499724304,0.4255268060020171,1.2206,4.2,0.007721740003034938,0.004076648001500871,1228800,0.13247182499617338,0.004586178599856794,Conv,3840,1328256,-0.017054120005923323,0.001424
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.16098767499934183,0.6443835872007184,1.4364,4.4,0.0025054920042748563,0.0010903869988396764,307200,0.0987400859958143,0.005186285599484109,Conv,36960,38016,-0.23186771120672345,0.000573
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.16845927800168284,0.5102354857997853,1.291,4.2,0.0014180709986248985,0.0010432030030642636,307200,0.08515726900077425,0.01015992799657397,Add,118752,3111360,-0.10519121280813126,0.010708
